Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,2008.500000,2036.000000,1987.550049,1994.500000,1988.104370,9150974
2021-05-03,1966.000000,1979.000000,1943.099976,1959.050049,1952.768188,10909942
2021-05-04,1950.000000,1967.800049,1911.000000,1916.599976,1910.454224,10083693
2021-05-05,1923.349976,1938.500000,1908.050049,1920.099976,1913.942993,5719649
2021-05-06,1921.849976,1935.000000,1906.599976,1931.000000,1924.807983,6749281
2021-05-07,1937.750000,1955.650024,1926.000000,1931.750000,1925.555664,5671163
2021-05-10,1939.000000,1946.800049,1920.949951,1926.199951,1920.023438,6433879
2021-05-11,1915.000000,1938.550049,1910.000000,1933.150024,1926.951172,6220217
2021-05-12,1930.099976,1932.900024,1907.000000,1913.150024,1907.015259,6081627
2021-05-14,1928.050049,1942.000000,1906.000000,1937.300049,1931.087891,6134079
2021-05-17,1937.300049,1963.449951,1930.400024,1960.349976,1954.063843,5479424
2021-05-18,1981.000000,2002.599976,1972.500000,1987.949951,1981.575317,5567958
2021-05-19,1980.000000,2016.449951,1972.000000,1997.050049,1990.646240,7530294
2021-05-20,1997.900024,2010.900024,1981.000000,1985.400024,1979.033569,5271497
2021-05-21,1992.000000,2009.599976,1986.000000,2002.550049,1996.128662,4977555
2021-05-24,2008.000000,2009.800049,1982.000000,1985.650024,1979.282837,3946636
2021-05-25,1996.400024,1997.000000,1960.000000,1963.150024,1956.854980,6821015
2021-05-26,1975.000000,1979.500000,1965.300049,1970.050049,1963.732910,3452113
2021-05-27,1970.300049,1993.000000,1962.250000,1976.099976,1969.763428,12377100
2021-05-28,1990.000000,2105.000000,1990.000000,2094.800049,2088.082764,26060864
2021-05-31,2102.000000,2191.699951,2085.050049,2160.300049,2153.372803,27285782
2021-06-01,2166.000000,2202.000000,2146.500000,2168.899902,2161.945068,12928379
2021-06-02,2157.000000,2209.500000,2157.000000,2201.250000,2194.191406,11366816
2021-06-03,2221.000000,2250.000000,2196.100098,2209.649902,2202.564453,11064116
2021-06-04,2214.800049,2216.449951,2184.250000,2190.500000,2183.475830,6677278
2021-06-07,2202.000000,2242.000000,2185.000000,2227.399902,2220.257568,7539326
2021-06-08,2226.600098,2227.149902,2198.149902,2214.600098,2207.498779,4464889
2021-06-09,2219.000000,2221.000000,2157.949951,2175.000000,2168.025635,5265326
2021-06-10,2193.399902,2230.000000,2177.550049,2183.000000,2176.000000,6532832
2021-06-11,2182.899902,2228.000000,2180.100098,2213.149902,2213.149902,6351520
2021-06-14,2215.000000,2258.250000,2195.050049,2244.899902,2244.899902,9383416
2021-06-15,2261.000000,2274.899902,2240.300049,2250.000000,2250.000000,7002898
2021-06-16,2244.899902,2247.050049,2205.850098,2211.600098,2211.600098,4982975
2021-06-17,2200.000000,2235.000000,2179.899902,2215.649902,2215.649902,7266765
2021-06-18,2225.500000,2235.000000,2184.350098,2225.649902,2225.649902,13553801
2021-06-21,2203.500000,2247.500000,2200.149902,2237.250000,2237.250000,5624044
2021-06-22,2254.000000,2261.000000,2219.350098,2225.750000,2225.750000,5940386
2021-06-23,2250.000000,2250.600098,2201.699951,2205.350098,2205.350098,7685796
2021-06-24,2206.850098,2214.600098,2140.000000,2153.500000,2153.500000,42209687
2021-06-25,2153.500000,2153.500000,2081.100098,2104.449951,2104.449951,25546334
2021-06-28,2122.000000,2126.500000,2081.000000,2086.000000,2086.000000,9357852
2021-06-29,2089.500000,2109.000000,2084.100098,2087.800049,2087.800049,12526981
2021-06-30,2096.250000,2122.649902,2091.050049,2110.649902,2110.649902,9120556
2021-07-01,2118.000000,2123.149902,2095.000000,2097.949951,2097.949951,5784627
2021-07-02,2097.000000,2132.899902,2092.949951,2129.050049,2129.050049,6500973
2021-07-05,2136.449951,2153.550049,2131.500000,2150.199951,2150.199951,5400604
2021-07-06,2144.949951,2148.899902,2120.199951,2124.800049,2124.800049,4647361
2021-07-07,2127.750000,2127.750000,2098.000000,2110.050049,2110.050049,4824931
2021-07-08,2116.949951,2116.949951,2081.000000,2092.600098,2092.600098,5162088
2021-07-09,2088.000000,2091.699951,2066.100098,2071.199951,2071.199951,4170886
2021-07-12,2079.750000,2101.500000,2074.500000,2084.100098,2084.100098,3962111
2021-07-13,2100.000000,2103.050049,2088.050049,2099.699951,2099.699951,3099956
2021-07-14,2100.350098,2106.850098,2081.250000,2086.000000,2086.000000,3937768
2021-07-15,2095.000000,2095.000000,2078.500000,2082.350098,2082.350098,4360415
2021-07-16,2087.750000,2114.750000,2087.600098,2112.399902,2112.399902,4074206
2021-07-19,2100.000000,2124.000000,2092.250000,2098.949951,2098.949951,3855577
2021-07-20,2099.500000,2108.000000,2084.000000,2093.800049,2093.800049,3111185
2021-07-22,2119.000000,2123.899902,2098.149902,2120.699951,2120.699951,3679260
2021-07-23,2134.449951,2134.449951,2102.050049,2105.699951,2105.699951,4585938
2021-07-26,2108.000000,2121.000000,2071.100098,2076.850098,2076.850098,5717830
2021-07-27,2076.800049,2083.699951,2042.000000,2055.000000,2055.000000,4995516
2021-07-28,2058.000000,2058.000000,2016.250000,2037.349976,2037.349976,5952355
2021-07-29,2054.000000,2074.399902,2043.400024,2053.250000,2053.250000,6352886
2021-07-30,2058.000000,2067.949951,2031.099976,2035.300049,2035.300049,5238304
2021-08-02,2054.300049,2079.399902,2041.150024,2072.500000,2072.500000,5041934
2021-08-03,2090.000000,2091.000000,2064.199951,2087.750000,2087.750000,5453682
2021-08-04,2094.399902,2114.000000,2087.000000,2103.750000,2103.750000,6077861
2021-08-05,2114.300049,2154.800049,2104.250000,2134.250000,2134.250000,9807831
2021-08-06,2129.949951,2146.949951,2078.750000,2089.050049,2089.050049,7670583
2021-08-09,2081.000000,2089.800049,2066.500000,2077.149902,2077.149902,3458546
2021-08-10,2082.000000,2113.000000,2073.750000,2088.050049,2088.050049,5500708
2021-08-11,2096.949951,2120.000000,2083.399902,2117.300049,2117.300049,4238859
2021-08-12,2124.899902,2126.199951,2105.000000,2110.500000,2110.500000,3755507
2021-08-13,2117.300049,2149.899902,2108.949951,2145.649902,2145.649902,5898384
2021-08-16,2149.350098,2203.000000,2128.149902,2173.500000,2173.500000,10123204
2021-08-17,2168.850098,2185.199951,2147.850098,2164.250000,2164.250000,5841743
